ags,key,state,type,value
03402,costs_nursing_class_2,Niedersachsen,costs,58.73
03402,costs_nursing_class_3,Niedersachsen,costs,72.93
03402,food,Niedersachsen,costs,17.11
03403,costs_nursing_class_1,Niedersachsen,costs,44.83
03403,costs_nursing_class_2,Niedersachsen,costs,58.38
03403,costs_nursing_class_3,Niedersachsen,costs,72.54
03403,food,Niedersachsen,costs,17.1
03404,costs_nursing_class_1,Niedersachsen,costs,48.36
03404,costs_nursing_class_2,Niedersachsen,costs,64.66
03404,costs_nursing_class_3,Niedersachsen,costs,81.18
03404,food,Niedersachsen,costs,17.84
03405,costs_nursing_class_1,Niedersachsen,costs,43.08
03405,costs_nursing_class_2,Niedersachsen,costs,54.98
03405,costs_nursing_class_3,Niedersachsen,costs,67.01
03405,food,Niedersachsen,costs,16.45
03451,costs_nursing_class_1,Niedersachsen,costs,45.34
03451,costs_nursing_class_2,Niedersachsen,costs,57.73
03451,costs_nursing_class_3,Niedersachsen,costs,70.71
03451,food,Niedersachsen,costs,16.76
03452,costs_nursing_class_1,Niedersachsen,costs,42.48
03452,costs_nursing_class_2,Niedersachsen,costs,55.02
03452,costs_nursing_class_3,Niedersachsen,costs,67.9
03452,food,Niedersachsen,costs,16.6
03453,costs_nursing_class_1,Niedersachsen,costs,44.86
03453,costs_nursing_class_2,Niedersachsen,costs,59.12
03453,costs_nursing_class_3,Niedersachsen,costs,73.95
03453,food,Niedersachsen,costs,16.76
03454,costs_nursing_class_1,Niedersachsen,costs,44.95
03454,costs_nursing_class_2,Niedersachsen,costs,59.29
03454,costs_nursing_class_3,Niedersachsen,costs,73.45
03454,food,Niedersachsen,costs,17.07
03455,costs_nursing_class_1,Niedersachsen,costs,46.81
03455,costs_nursing_class_2,Niedersachsen,costs,59.58
03455,costs_nursing_class_3,Niedersachsen,costs,73.21
03455,food,Niedersachsen,costs,16.92
03456,costs_nursing_class_1,Niedersachsen,costs,44.76
03456,costs_nursing_class_2,Niedersachsen,costs,59.0
03456,costs_nursing_class_3,Niedersachsen,costs,73.25
03456,food,Niedersachsen,costs,17.24
03457,costs_nursing_class_1,Niedersachsen,costs,42.63
03457,costs_nursing_class_2,Niedersachsen,costs,56.13
03457,costs_nursing_class_3,Niedersachsen,costs,69.63
03457,food,Niedersachsen,costs,16.94
03458,costs_nursing_class_1,Niedersachsen,costs,42.96
03458,costs_nursing_class_2,Niedersachsen,costs,55.48
03458,costs_nursing_class_3,Niedersachsen,costs,68.51
03458,food,Niedersachsen,costs,17.1
03459,costs_nursing_class_1,Niedersachsen,costs,46.82
03459,costs_nursing_class_2,Niedersachsen,costs,61.86
03459,costs_nursing_class_3,Niedersachsen,costs,76.87
03459,food,Niedersachsen,costs,18.22
03460,costs_nursing_class_1,Niedersachsen,costs,46.5
03460,costs_nursing_class_2,Niedersachsen,costs,60.58
03460,costs_nursing_class_3,Niedersachsen,costs,75.29
03460,food,Niedersachsen,costs,17.4
03461,costs_nursing_class_1,Niedersachsen,costs,41.78
03461,costs_nursing_class_2,Niedersachsen,costs,54.05
03461,costs_nursing_class_3,Niedersachsen,costs,66.38
03461,food,Niedersachsen,costs,16.6
03462,costs_nursing_class_1,Niedersachsen,costs,42.54
03462,costs_nursing_class_2,Niedersachsen,costs,55.98
03462,costs_nursing_class_3,Niedersachsen,costs,69.38
03462,food,Niedersachsen,costs,17.09
03101,1-bed,Niedersachsen,beds,2072.0
03101,2-bed,Niedersachsen,beds,1112.0
03101,3-bed,Niedersachsen,beds,0.0
03101,4-bed,Niedersachsen,beds,0.0
03102,1-bed,Niedersachsen,beds,785.0
03102,2-bed,Niedersachsen,beds,604.0
03102,3-bed,Niedersachsen,beds,0.0
03102,4-bed,Niedersachsen,beds,0.0
03103,1-bed,Niedersachsen,beds,841.0
03103,2-bed,Niedersachsen,beds,416.0
03103,3-bed,Niedersachsen,beds,0.0
03103,4-bed,Niedersachsen,beds,0.0
03151,1-bed,Niedersachsen,beds,1349.0
03151,2-bed,Niedersachsen,beds,392.0
03151,3-bed,Niedersachsen,beds,0.0
03151,4-bed,Niedersachsen,beds,0.0
03152,1-bed,Niedersachsen,beds,2111.0
03152,2-bed,Niedersachsen,beds,1153.0
03152,3-bed,Niedersachsen,beds,30.0
03152,4-bed,Niedersachsen,beds,0.0
03153,1-bed,Niedersachsen,beds,1834.0
03153,2-bed,Niedersachsen,beds,1230.0
03153,3-bed,Niedersachsen,beds,42.0
03153,4-bed,Niedersachsen,beds,24.0
03154,1-bed,Niedersachsen,beds,1195.0
03154,2-bed,Niedersachsen,beds,527.0
03154,3-bed,Niedersachsen,beds,0.0
03154,4-bed,Niedersachsen,beds,0.0
03155,1-bed,Niedersachsen,beds,1423.0
03155,2-bed,Niedersachsen,beds,956.0
03155,3-bed,Niedersachsen,beds,0.0
03155,4-bed,Niedersachsen,beds,0.0
03156,1-bed,Niedersachsen,beds,1025.0
03156,2-bed,Niedersachsen,beds,922.0
03156,3-bed,Niedersachsen,beds,3.0
03156,4-bed,Niedersachsen,beds,0.0
03157,1-bed,Niedersachsen,beds,892.0
03157,2-bed,Niedersachsen,beds,1061.0
03157,3-bed,Niedersachsen,beds,0.0
03157,4-bed,Niedersachsen,beds,0.0
03158,1-bed,Niedersachsen,beds,989.0
03158,2-bed,Niedersachsen,beds,631.0
03158,3-bed,Niedersachsen,beds,0.0
03158,4-bed,Niedersachsen,beds,0.0
03241,1-bed,Niedersachsen,beds,8568.0
03241,2-bed,Niedersachsen,beds,6231.0
03241,3-bed,Niedersachsen,beds,61.0
03241,4-bed,Niedersachsen,beds,0.0
03251,1-bed,Niedersachsen,beds,1393.0
03251,2-bed,Niedersachsen,beds,932.0
03251,3-bed,Niedersachsen,beds,21.0
03251,4-bed,Niedersachsen,beds,0.0
03252,1-bed,Niedersachsen,beds,1694.0
03252,2-bed,Niedersachsen,beds,1044.0
03252,3-bed,Niedersachsen,beds,0.0
03252,4-bed,Niedersachsen,beds,0.0
03254,1-bed,Niedersachsen,beds,2506.0
03254,2-bed,Niedersachsen,beds,1720.0
03254,3-bed,Niedersachsen,beds,105.0
03254,4-bed,Niedersachsen,beds,10.0
03255,1-bed,Niedersachsen,beds,727.0
03255,2-bed,Niedersachsen,beds,568.0
03255,3-bed,Niedersachsen,beds,0.0
03255,4-bed,Niedersachsen,beds,0.0
03256,1-bed,Niedersachsen,beds,963.0
03256,2-bed,Niedersachsen,beds,814.0
03256,3-bed,Niedersachsen,beds,12.0
03256,4-bed,Niedersachsen,beds,0.0
03257,1-bed,Niedersachsen,beds,2110.0
03257,2-bed,Niedersachsen,beds,1241.0
03257,3-bed,Niedersachsen,beds,9.0
03257,4-bed,Niedersachsen,beds,0.0
03351,1-bed,Niedersachsen,beds,1932.0
03351,2-bed,Niedersachsen,beds,821.0
03351,3-bed,Niedersachsen,beds,0.0
03351,4-bed,Niedersachsen,beds,0.0
03352,1-bed,Niedersachsen,beds,1676.0
03352,2-bed,Niedersachsen,beds,900.0
03352,3-bed,Niedersachsen,beds,21.0
03352,4-bed,Niedersachsen,beds,6.0
03353,1-bed,Niedersachsen,beds,1731.0
03353,2-bed,Niedersachsen,beds,556.0
03353,3-bed,Niedersachsen,beds,0.0
03353,4-bed,Niedersachsen,beds,4.0
03354,1-bed,Niedersachsen,beds,508.0
03354,2-bed,Niedersachsen,beds,292.0
03354,3-bed,Niedersachsen,beds,0.0
03354,4-bed,Niedersachsen,beds,0.0
03355,1-bed,Niedersachsen,beds,1512.0
03355,2-bed,Niedersachsen,beds,861.0
03355,3-bed,Niedersachsen,beds,30.0
03355,4-bed,Niedersachsen,beds,0.0
03356,1-bed,Niedersachsen,beds,802.0
03356,2-bed,Niedersachsen,beds,606.0
03356,3-bed,Niedersachsen,beds,45.0
03356,4-bed,Niedersachsen,beds,4.0
03357,1-bed,Niedersachsen,beds,1099.0
03357,2-bed,Niedersachsen,beds,754.0
03357,3-bed,Niedersachsen,beds,3.0
03357,4-bed,Niedersachsen,beds,0.0
03358,1-bed,Niedersachsen,beds,1491.0
03358,2-bed,Niedersachsen,beds,364.0
03358,3-bed,Niedersachsen,beds,0.0
03358,4-bed,Niedersachsen,beds,0.0
03359,1-bed,Niedersachsen,beds,1418.0
03359,2-bed,Niedersachsen,beds,662.0
03359,3-bed,Niedersachsen,beds,0.0
03359,4-bed,Niedersachsen,beds,0.0
03360,1-bed,Niedersachsen,beds,1001.0
03360,2-bed,Niedersachsen,beds,761.0
03360,3-bed,Niedersachsen,beds,3.0
03360,4-bed,Niedersachsen,beds,0.0
03361,1-bed,Niedersachsen,beds,1263.0
03361,2-bed,Niedersachsen,beds,618.0
03361,3-bed,Niedersachsen,beds,0.0
03361,4-bed,Niedersachsen,beds,0.0
03401,1-bed,Niedersachsen,beds,460.0
03401,2-bed,Niedersachsen,beds,166.0
03401,3-bed,Niedersachsen,beds,0.0
03401,4-bed,Niedersachsen,beds,0.0
03402,1-bed,Niedersachsen,beds,265.0
03402,2-bed,Niedersachsen,beds,208.0
03402,3-bed,Niedersachsen,beds,9.0
03402,4-bed,Niedersachsen,beds,0.0
03403,1-bed,Niedersachsen,beds,1192.0
03403,2-bed,Niedersachsen,beds,580.0
03403,3-bed,Niedersachsen,beds,0.0
03403,4-bed,Niedersachsen,beds,0.0
03404,1-bed,Niedersachsen,beds,1198.0
03404,2-bed,Niedersachsen,beds,312.0
03404,3-bed,Niedersachsen,beds,0.0
03404,4-bed,Niedersachsen,beds,0.0
03405,1-bed,Niedersachsen,beds,724.0
03405,2-bed,Niedersachsen,beds,330.0
03405,3-bed,Niedersachsen,beds,12.0
03405,4-bed,Niedersachsen,beds,4.0
03451,1-bed,Niedersachsen,beds,707.0
03451,2-bed,Niedersachsen,beds,445.0
03451,3-bed,Niedersachsen,beds,0.0
03451,4-bed,Niedersachsen,beds,0.0
03452,1-bed,Niedersachsen,beds,1000.0
03452,2-bed,Niedersachsen,beds,704.0
03452,3-bed,Niedersachsen,beds,0.0
03452,4-bed,Niedersachsen,beds,0.0
03453,1-bed,Niedersachsen,beds,1049.0
03453,2-bed,Niedersachsen,beds,429.0
03453,3-bed,Niedersachsen,beds,0.0
03453,4-bed,Niedersachsen,beds,0.0
03454,1-bed,Niedersachsen,beds,2040.0
03454,2-bed,Niedersachsen,beds,270.0
03454,3-bed,Niedersachsen,beds,0.0
03454,4-bed,Niedersachsen,beds,0.0
03455,1-bed,Niedersachsen,beds,731.0
03455,2-bed,Niedersachsen,beds,482.0
03455,3-bed,Niedersachsen,beds,3.0
03455,4-bed,Niedersachsen,beds,0.0
03456,1-bed,Niedersachsen,beds,988.0
03456,2-bed,Niedersachsen,beds,428.0
03456,3-bed,Niedersachsen,beds,0.0
03456,4-bed,Niedersachsen,beds,0.0
03457,1-bed,Niedersachsen,beds,1048.0
03457,2-bed,Niedersachsen,beds,453.0
03457,3-bed,Niedersachsen,beds,1.0
03457,4-bed,Niedersachsen,beds,0.0
03458,1-bed,Niedersachsen,beds,1103.0
03458,2-bed,Niedersachsen,beds,503.0
03458,3-bed,Niedersachsen,beds,9.0
03458,4-bed,Niedersachsen,beds,0.0
03459,1-bed,Niedersachsen,beds,3228.0
03459,2-bed,Niedersachsen,beds,536.0
03459,3-bed,Niedersachsen,beds,0.0
03459,4-bed,Niedersachsen,beds,0.0
03460,1-bed,Niedersachsen,beds,850.0
03460,2-bed,Niedersachsen,beds,330.0
03460,3-bed,Niedersachsen,beds,0.0
03460,4-bed,Niedersachsen,beds,0.0
03461,1-bed,Niedersachsen,beds,776.0
03461,2-bed,Niedersachsen,beds,596.0
03461,3-bed,Niedersachsen,beds,15.0
03461,4-bed,Niedersachsen,beds,0.0
03462,1-bed,Niedersachsen,beds,384.0
03462,2-bed,Niedersachsen,beds,250.0
03462,3-bed,Niedersachsen,beds,0.0
03462,4-bed,Niedersachsen,beds,0.0
03101,total_personnel,Niedersachsen,personal,2247.0
03101,fully_employed,Niedersachsen,personal,768.0
03101,nursing_and_care,Niedersachsen,personal,1393.0
03101,social_care,Niedersachsen,personal,88.0
03101,other_care,Niedersachsen,personal,109.0
03102,total_personnel,Niedersachsen,personal,1040.0
03102,fully_employed,Niedersachsen,personal,275.0
03102,nursing_and_care,Niedersachsen,personal,711.0
03102,social_care,Niedersachsen,personal,31.0
03102,other_care,Niedersachsen,personal,53.0
03103,total_personnel,Niedersachsen,personal,964.0
03103,fully_employed,Niedersachsen,personal,217.0
03103,nursing_and_care,Niedersachsen,personal,665.0
03103,social_care,Niedersachsen,personal,32.0
03103,other_care,Niedersachsen,personal,37.0
03151,total_personnel,Niedersachsen,personal,1245.0
03151,fully_employed,Niedersachsen,personal,401.0
03151,nursing_and_care,Niedersachsen,personal,743.0
03151,social_care,Niedersachsen,personal,40.0
03151,other_care,Niedersachsen,personal,68.0
03152,total_personnel,Niedersachsen,personal,2592.0
03152,fully_employed,Niedersachsen,personal,814.0
03152,nursing_and_care,Niedersachsen,personal,1708.0
03152,social_care,Niedersachsen,personal,109.0
03152,other_care,Niedersachsen,personal,108.0
03153,total_personnel,Niedersachsen,personal,2229.0
03153,fully_employed,Niedersachsen,personal,999.0
03153,nursing_and_care,Niedersachsen,personal,1365.0
03153,social_care,Niedersachsen,personal,80.0
03153,other_care,Niedersachsen,personal,89.0
03154,total_personnel,Niedersachsen,personal,1173.0
03154,fully_employed,Niedersachsen,personal,409.0
03154,nursing_and_care,Niedersachsen,personal,741.0
03154,social_care,Niedersachsen,personal,52.0
03154,other_care,Niedersachsen,personal,45.0
03155,total_personnel,Niedersachsen,personal,1840.0
03155,fully_employed,Niedersachsen,personal,688.0
03155,nursing_and_care,Niedersachsen,personal,1115.0
03155,social_care,Niedersachsen,personal,71.0
03155,other_care,Niedersachsen,personal,80.0
03156,total_personnel,Niedersachsen,personal,1479.0
03156,fully_employed,Niedersachsen,personal,619.0
03156,nursing_and_care,Niedersachsen,personal,917.0
03156,social_care,Niedersachsen,personal,34.0
03156,other_care,Niedersachsen,personal,65.0
03157,total_personnel,Niedersachsen,personal,1426.0
03157,fully_employed,Niedersachsen,personal,485.0
03157,nursing_and_care,Niedersachsen,personal,883.0
03157,social_care,Niedersachsen,personal,49.0
03157,other_care,Niedersachsen,personal,57.0
03158,total_personnel,Niedersachsen,personal,1207.0
03158,fully_employed,Niedersachsen,personal,465.0
03158,nursing_and_care,Niedersachsen,personal,731.0
03158,social_care,Niedersachsen,personal,65.0
03158,other_care,Niedersachsen,personal,59.0
03241,total_personnel,Niedersachsen,personal,10606.0
03241,fully_employed,Niedersachsen,personal,3893.0
03241,nursing_and_care,Niedersachsen,personal,6773.0
03241,social_care,Niedersachsen,personal,422.0
03241,other_care,Niedersachsen,personal,475.0
03251,total_personnel,Niedersachsen,personal,2077.0
03251,fully_employed,Niedersachsen,personal,461.0
03251,nursing_and_care,Niedersachsen,personal,1252.0
03251,social_care,Niedersachsen,personal,92.0
03251,other_care,Niedersachsen,personal,81.0
03252,total_personnel,Niedersachsen,personal,2149.0
03252,fully_employed,Niedersachsen,personal,687.0
03252,nursing_and_care,Niedersachsen,personal,1321.0
03252,social_care,Niedersachsen,personal,111.0
03252,other_care,Niedersachsen,personal,94.0
03254,total_personnel,Niedersachsen,personal,3247.0
03254,fully_employed,Niedersachsen,personal,1015.0
03254,nursing_and_care,Niedersachsen,personal,2051.0
03254,social_care,Niedersachsen,personal,144.0
03254,other_care,Niedersachsen,personal,118.0
03255,total_personnel,Niedersachsen,personal,962.0
03255,fully_employed,Niedersachsen,personal,260.0
03255,nursing_and_care,Niedersachsen,personal,568.0
03255,social_care,Niedersachsen,personal,51.0
03255,other_care,Niedersachsen,personal,40.0
03256,total_personnel,Niedersachsen,personal,1471.0
03256,fully_employed,Niedersachsen,personal,527.0
03256,nursing_and_care,Niedersachsen,personal,866.0
03256,social_care,Niedersachsen,personal,44.0
03256,other_care,Niedersachsen,personal,75.0
03257,total_personnel,Niedersachsen,personal,2410.0
03257,fully_employed,Niedersachsen,personal,762.0
03257,nursing_and_care,Niedersachsen,personal,1486.0
03257,social_care,Niedersachsen,personal,108.0
03257,other_care,Niedersachsen,personal,114.0
03351,total_personnel,Niedersachsen,personal,2047.0
03351,fully_employed,Niedersachsen,personal,679.0
03351,nursing_and_care,Niedersachsen,personal,1322.0
03351,social_care,Niedersachsen,personal,67.0
03351,other_care,Niedersachsen,personal,104.0
03352,total_personnel,Niedersachsen,personal,2298.0
03352,fully_employed,Niedersachsen,personal,643.0
03352,nursing_and_care,Niedersachsen,personal,1352.0
03352,social_care,Niedersachsen,personal,99.0
03352,other_care,Niedersachsen,personal,79.0
03353,total_personnel,Niedersachsen,personal,1860.0
03353,fully_employed,Niedersachsen,personal,511.0
03353,nursing_and_care,Niedersachsen,personal,1140.0
03353,social_care,Niedersachsen,personal,70.0
03353,other_care,Niedersachsen,personal,94.0
03354,total_personnel,Niedersachsen,personal,658.0
03354,fully_employed,Niedersachsen,personal,172.0
03354,nursing_and_care,Niedersachsen,personal,363.0
03354,social_care,Niedersachsen,personal,29.0
03354,other_care,Niedersachsen,personal,28.0
03355,total_personnel,Niedersachsen,personal,1935.0
03355,fully_employed,Niedersachsen,personal,721.0
03355,nursing_and_care,Niedersachsen,personal,1161.0
03355,social_care,Niedersachsen,personal,89.0
03355,other_care,Niedersachsen,personal,77.0
03356,total_personnel,Niedersachsen,personal,1254.0
03356,fully_employed,Niedersachsen,personal,390.0
03356,nursing_and_care,Niedersachsen,personal,762.0
03356,social_care,Niedersachsen,personal,38.0
03356,other_care,Niedersachsen,personal,48.0
03357,total_personnel,Niedersachsen,personal,1483.0
03357,fully_employed,Niedersachsen,personal,346.0
03357,nursing_and_care,Niedersachsen,personal,1001.0
03357,social_care,Niedersachsen,personal,86.0
03357,other_care,Niedersachsen,personal,97.0
03358,total_personnel,Niedersachsen,personal,1348.0
03358,fully_employed,Niedersachsen,personal,412.0
03358,nursing_and_care,Niedersachsen,personal,871.0
03358,social_care,Niedersachsen,personal,54.0
03358,other_care,Niedersachsen,personal,49.0
03359,total_personnel,Niedersachsen,personal,1802.0
03359,fully_employed,Niedersachsen,personal,413.0
03359,nursing_and_care,Niedersachsen,personal,1079.0
03359,social_care,Niedersachsen,personal,68.0
03359,other_care,Niedersachsen,personal,76.0
03360,total_personnel,Niedersachsen,personal,1212.0
03360,fully_employed,Niedersachsen,personal,428.0
03360,nursing_and_care,Niedersachsen,personal,771.0
03360,social_care,Niedersachsen,personal,47.0
03360,other_care,Niedersachsen,personal,61.0
03361,total_personnel,Niedersachsen,personal,1519.0
03361,fully_employed,Niedersachsen,personal,428.0
03361,nursing_and_care,Niedersachsen,personal,857.0
03361,social_care,Niedersachsen,personal,77.0
03361,other_care,Niedersachsen,personal,53.0
03401,total_personnel,Niedersachsen,personal,518.0
03401,fully_employed,Niedersachsen,personal,138.0
03401,nursing_and_care,Niedersachsen,personal,327.0
03401,social_care,Niedersachsen,personal,18.0
03401,other_care,Niedersachsen,personal,24.0
03402,total_personnel,Niedersachsen,personal,444.0
03402,fully_employed,Niedersachsen,personal,101.0
03402,nursing_and_care,Niedersachsen,personal,292.0
03402,social_care,Niedersachsen,personal,12.0
03402,other_care,Niedersachsen,personal,23.0
03403,total_personnel,Niedersachsen,personal,1321.0
03403,fully_employed,Niedersachsen,personal,332.0
03403,nursing_and_care,Niedersachsen,personal,867.0
03403,social_care,Niedersachsen,personal,39.0
03403,other_care,Niedersachsen,personal,38.0
03404,total_personnel,Niedersachsen,personal,1329.0
03404,fully_employed,Niedersachsen,personal,183.0
03404,nursing_and_care,Niedersachsen,personal,906.0
03404,social_care,Niedersachsen,personal,84.0
03404,other_care,Niedersachsen,personal,61.0
03405,total_personnel,Niedersachsen,personal,747.0
03405,fully_employed,Niedersachsen,personal,306.0
03405,nursing_and_care,Niedersachsen,personal,478.0
03405,social_care,Niedersachsen,personal,24.0
03405,other_care,Niedersachsen,personal,24.0
03451,total_personnel,Niedersachsen,personal,822.0
03451,fully_employed,Niedersachsen,personal,237.0
03451,nursing_and_care,Niedersachsen,personal,538.0
03451,social_care,Niedersachsen,personal,19.0
03451,other_care,Niedersachsen,personal,42.0
03452,total_personnel,Niedersachsen,personal,1405.0
03452,fully_employed,Niedersachsen,personal,499.0
03452,nursing_and_care,Niedersachsen,personal,903.0
03452,social_care,Niedersachsen,personal,28.0
03452,other_care,Niedersachsen,personal,69.0
03453,total_personnel,Niedersachsen,personal,1691.0
03453,fully_employed,Niedersachsen,personal,201.0
03453,nursing_and_care,Niedersachsen,personal,1036.0
03453,social_care,Niedersachsen,personal,44.0
03453,other_care,Niedersachsen,personal,44.0
03454,total_personnel,Niedersachsen,personal,2429.0
03454,fully_employed,Niedersachsen,personal,346.0
03454,nursing_and_care,Niedersachsen,personal,1565.0
03454,social_care,Niedersachsen,personal,79.0
03454,other_care,Niedersachsen,personal,77.0
03455,total_personnel,Niedersachsen,personal,972.0
03455,fully_employed,Niedersachsen,personal,297.0
03455,nursing_and_care,Niedersachsen,personal,641.0
03455,social_care,Niedersachsen,personal,20.0
03455,other_care,Niedersachsen,personal,39.0
03456,total_personnel,Niedersachsen,personal,1380.0
03456,fully_employed,Niedersachsen,personal,267.0
03456,nursing_and_care,Niedersachsen,personal,885.0
03456,social_care,Niedersachsen,personal,39.0
03456,other_care,Niedersachsen,personal,53.0
